0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:05 +0900] "GET /tr_spring/mainPage.tr HTTP/1.1" 200 7367
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:05 +0900] "GET /tr_spring/HTML_CSS/image/krn.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:05 +0900] "GET /tr_spring/%EC%9D%B4%EB%AF%B8%EC%A7%80_%ED%8C%8C%EC%9D%BC_%EA%B2%BD%EB%A1%9C HTTP/1.1" 404 886
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:05 +0900] "GET /tr_spring/noticePopup.tr HTTP/1.1" 200 1756
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:05 +0900] "GET /tr_spring/resources/images/noticebg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:08 +0900] "GET /tr_spring/appSelect/A.tr HTTP/1.1" 200 10845
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:08 +0900] "GET /tr_spring/resources/images/notification-bell.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:08 +0900] "GET /tr_spring/resources/images/logo-green2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:08 +0900] "GET /tr_spring/fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:08 +0900] "GET /tr_spring/appAlert.tr HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:08 +0900] "GET /tr_spring/resources/images/alert.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:09 +0900] "GET /tr_spring/mainPage.tr HTTP/1.1" 200 7367
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:09 +0900] "GET /tr_spring/HTML_CSS/image/krn.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:09 +0900] "GET /tr_spring/%EC%9D%B4%EB%AF%B8%EC%A7%80_%ED%8C%8C%EC%9D%BC_%EA%B2%BD%EB%A1%9C HTTP/1.1" 404 886
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:09 +0900] "GET /tr_spring/noticePopup.tr HTTP/1.1" 200 1756
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:26 +0900] "GET /tr_spring/appSelect/A.tr HTTP/1.1" 200 10845
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:26 +0900] "GET /tr_spring/appAlert.tr HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:28 +0900] "GET /tr_spring/tMemAddrBook.tr HTTP/1.1" 200 15563
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:28 +0900] "GET /tr_spring/resources/images/star.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:28 +0900] "GET /tr_spring/resources/images/address-book.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:28 +0900] "GET /tr_spring/appAlert.tr HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:32 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12860
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:32 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:32 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:37 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12860
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:37 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:37 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:10 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12881
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:10 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:10 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:11 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12881
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:11 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:11 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:12 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12881
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:12 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:12 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:13 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12881
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:13 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:13 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:14 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12881
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:14 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:14 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:25 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12881
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:25 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:25 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:26 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12881
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:26 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:26 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:26 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12881
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:26 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:26 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:27 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12881
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:27 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:27 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:27 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12881
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:27 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:27 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:28 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12881
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:28 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:28 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:28 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12881
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:28 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:28 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:32 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12881
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:17:32 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
